ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1.321,-0.1396,0.0029,1.0278,0.2443,0.6718,0.542
1.341,-0.1357,0.01,1.0259,0.2748,0.4504,0.5878
1.361,-0.145,0.0066,1.0249,0.2061,0.6412,0.6031
1.381,-0.1396,0.0076,1.0322,0.2901,0.5802,0.7252
1.401,-0.144,0.0012,1.03,0.3282,0.5191,0.6336
1.421,-0.1431,0.0078,1.0293,0.2214,0.6947,0.6336
1.441,-0.1416,0.0076,1.0232,0.2748,0.5344,0.687
1.461,-0.146,0.0049,1.0259,0.1069,0.6031,0.626
1.481,-0.1382,0.0049,1.0269,0.1603,0.5649,0.5191
1.501,-0.1404,0.0059,1.0205,0.1374,0.4809,0.6336
1.521,-0.1414,0.0034,1.0229,0.145,0.6794,0.5649
1.541,-0.1389,0.0078,1.0232,0.2519,0.5038,0.5954
1.561,-0.1416,-0.0012,1.0327,0.2214,0.6718,0.5649
1.581,-0.1379,0.0085,1.0251,0.1985,0.5573,0.6412
1.601,-0.1404,0.0061,1.0259,0.2137,0.5038,0.7023
1.622,-0.1428,0.0032,1.0269,0.2137,0.6336,0.6031
1.641,-0.1392,0.0076,1.0271,0.2137,0.5115,0.6412
1.661,-0.1404,0.0049,1.0261,0.1832,0.6183,0.626
1.681,-0.1394,0.0024,1.0286,0.1908,0.5649,0.6718
1.701,-0.1423,0.0088,1.0242,0.1756,0.4504,0.7099
1.721,-0.146,0.0056,1.0305,0.1679,0.687,0.7023
1.741,-0.1399,0.0032,1.0254,0.2824,0.5038,0.626
1.761,-0.1443,0.0034,1.0271,0.1985,0.6336,0.5954
1.781,-0.1426,0.0049,1.0288,0.1603,0.5725,0.5878
1.801,-0.1404,0.0076,1.0203,0.2137,0.5191,0.6031
1.821,-0.1418,0.0039,1.0271,0.1069,0.6183,0.6641
1.841,-0.1426,0.0081,1.0222,0.1756,0.6412,0.5267
1.861,-0.1462,0.0066,1.0273,0.1527,0.6031,0.687
1.881,-0.1389,0.0068,1.031,0.1679,0.6794,0.6183
1.901,-0.1426,0.0071,1.0298,0.1985,0.542,0.7405
1.921,-0.144,0.0039,1.0286,0.1527,0.687,0.6107
1.941,-0.1436,0.0046,1.0247,0.1221,0.5191,0.7939
1.961,-0.1448,0.0059,1.0339,0.2061,0.7023,0.542
1.981,-0.1377,0.0078,1.0247,0.1374,0.6107,0.6718
2.001,-0.1404,0.0063,1.0266,0.1527,0.5267,0.5878
2.021,-0.1418,0.0078,1.0242,0.2824,0.6336,0.626
2.041,-0.1411,0.0068,1.0198,0.2672,0.542,0.6489
2.061,-0.145,0.0085,1.0269,0.2137,0.6794,0.6489
2.081,-0.1431,0.0056,1.0239,0.145,0.5344,0.6794
2.101,-0.1448,0.0071,1.0244,0.2061,0.4809,0.6183
2.121,-0.1438,0.0037,1.0322,0.1908,0.5954,0.6412
2.141,-0.1406,0.0076,1.0234,0.1832,0.4198,0.6412
2.161,-0.1443,0.0042,1.0251,0.1985,0.5649,0.5649
2.181,-0.1394,0.0037,1.0244,0.2519,0.5649,0.6565
2.201,-0.1423,0.0051,1.0244,0.2595,0.4275,0.6107
2.221,-0.1453,0.0059,1.0327,0.2061,0.6183,0.5954
2.241,-0.1375,0.0059,1.0317,0.1756,0.5267,0.626
2.262,-0.1436,0.0076,1.0203,0.1603,0.6336,0.6107
2.281,-0.1372,0.0061,1.0234,0.1527,0.5802,0.6107
2.301,-0.1482,0.0049,1.0264,0.1985,0.5954,0.5573
2.321,-0.1409,0.0059,1.0288,0.2519,0.5802,0.7328
2.341,-0.1409,0.0085,1.0205,0.1603,0.4962,0.626
2.361,-0.1458,0.0081,1.0266,0.2366,0.6183,0.6183
2.381,-0.1396,0.0066,1.0254,0.2061,0.626,0.6489
2.401,-0.1416,0.0054,1.0203,0.1908,0.4504,0.6412
2.421,-0.1443,0.0076,1.0337,0.2137,0.7023,0.7023
2.441,-0.1406,0.0042,1.0266,0.2443,0.5038,0.6336
2.461,-0.1462,0.0056,1.0288,0.2061,0.626,0.6031
2.481,-0.1416,0.0098,1.0288,0.0992,0.6565,0.6107
2.501,-0.1426,0.002,1.0237,0.2137,0.5344,0.6336
2.521,-0.1418,0.0032,1.0308,0.2214,0.6794,0.5878
2.541,-0.1409,0.0078,1.0195,0.145,0.5038,0.6183
2.561,-0.1436,0.0068,1.0234,0.2061,0.5649,0.6107
2.581,-0.1392,0.0029,1.0276,0.1985,0.6565,0.5802
2.601,-0.1409,0.0093,1.0239,0.3359,0.5573,0.626
2.621,-0.1416,0.0068,1.0244,0.1985,0.5878,0.6718
2.641,-0.1394,0.0039,1.0303,0.1527,0.4885,0.6641
2.661,-0.1497,0.0061,1.0242,0.2061,0.6183,0.626
2.681,-0.1406,0.0063,1.0298,0.1374,0.5573,0.7099
2.701,-0.1438,0.0049,1.0315,0.1832,0.5344,0.6641
2.721,-0.1433,0.0059,1.0264,0.1603,0.687,0.7023
2.741,-0.1367,0.0115,1.0269,0.2137,0.5954,0.5802
2.761,-0.1477,0.0066,1.0278,0.1832,0.6031,0.626
2.781,-0.1423,0.0027,1.0254,0.2672,0.7023,0.5573
2.801,-0.1433,0.0037,1.0229,0.1374,0.3893,0.6947
2.821,-0.1404,0.0063,1.0342,0.1832,0.6336,0.6183
2.841,-0.1399,0.0054,1.0247,0.2214,0.458,0.6336
2.861,-0.1465,0.0068,1.0208,0.2366,0.4198,0.6794
2.881,-0.1416,0.0066,1.0251,0.2366,0.4733,0.6412
2.902,-0.1406,0.0044,1.0256,0.2672,0.4962,0.6107
2.921,-0.1431,0.0049,1.0291,0.2443,0.6336,0.5802
2.941,-0.1409,0.0,1.0244,0.1756,0.4046,0.6641
2.961,-0.1433,0.0044,1.0283,0.145,0.5725,0.6489
2.981,-0.1394,0.0093,1.0232,0.145,0.542,0.5725
3.001,-0.1418,0.0051,1.0256,0.1908,0.3969,0.6565
3.021,-0.1411,0.0081,1.0271,0.2748,0.6794,0.7328
3.041,-0.1428,0.0085,1.0293,0.0992,0.4962,0.6336
