ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX,DeltaTime,Angle,Drift Per Min
1.323,-0.1199,0.0171,1.0171,0.145,0.5496,0.5496,0.002068427,0.019,0.002755,9.133694792
1.342,-0.1191,0.0178,1.0212,0.1679,0.626,0.5954,,0.02,0.006113,
1.362,-0.1194,0.0164,1.0251,0.1679,0.5649,0.6183,,0.02,0.009471,
1.382,-0.116,0.0151,1.02,0.2137,0.5267,0.6718,,0.02,0.013745,
1.402,-0.1157,0.0171,1.0227,0.1756,0.4656,0.5725,,0.02,0.017257,
1.422,-0.1143,0.009,1.0186,0.2824,0.4962,0.6336,,0.02,0.022905,
1.442,-0.1216,0.0164,1.0159,0.1221,0.6794,0.6183,,0.02,0.025347,
1.462,-0.1128,0.0166,1.0193,0.2519,0.4656,0.6412,,0.02,0.030385,
1.482,-0.1177,0.0171,1.0237,0.1756,0.6565,0.5496,,0.02,0.033897,
1.502,-0.116,0.0183,1.0256,0.2214,0.5573,0.6489,,0.02,0.038325,
1.522,-0.1187,0.0168,1.0232,0.1832,0.5573,0.6336,,0.02,0.041989,
1.542,-0.1213,0.0156,1.0242,0.0534,0.5954,0.5038,,0.02,0.043057,
1.562,-0.1155,0.0183,1.0122,0.2214,0.6412,0.5954,,0.02,0.047485,
1.582,-0.1208,0.0132,1.0166,0.1679,0.5267,0.6412,,0.02,0.050843,
1.602,-0.1194,0.0159,1.0203,0.1069,0.5802,0.6183,,0.021,0.0530879,
1.623,-0.1165,0.0161,1.02,0.1908,0.5115,0.6183,,0.02,0.0569039,
1.643,-0.1194,0.0146,1.0198,0.1069,0.5191,0.6107,,0.021,0.0591488,
1.664,-0.1147,0.0154,1.0217,0.1374,0.4504,0.5496,,0.019,0.0617594,
1.683,-0.1169,0.0168,1.0161,0.1298,0.5115,0.6031,,0.02,0.0643554,
1.703,-0.114,0.0112,1.0181,0.1679,0.5573,0.6641,,0.02,0.0677134,
1.723,-0.1177,0.0137,1.0278,0.1679,0.5725,0.5954,,0.02,0.0710714,
1.743,-0.1187,0.0134,1.019,0.2061,0.5344,0.5649,,0.02,0.0751934,
1.763,-0.1174,0.0159,1.0229,0.2061,0.5573,0.5878,,0.02,0.0793154,
1.783,-0.1179,0.0164,1.0254,0.1832,0.5344,0.6565,,0.02,0.0829794,
1.803,-0.1223,0.0144,1.0195,0.1527,0.5496,0.6107,,0.02,0.0860334,
1.823,-0.1184,0.0156,1.0212,0.145,0.5115,0.5573,,0.02,0.0889334,
1.843,-0.1182,0.0144,1.0212,0.229,0.5878,0.6107,,0.02,0.0935134,
1.863,-0.1152,0.0139,1.0237,0.1298,0.542,0.7099,,0.02,0.0961094,
