ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX
1.323,-0.1199,0.0171,1.0171,0.145,0.5496,0.5496,0.002068427
1.342,-0.1191,0.0178,1.0212,0.1679,0.626,0.5954,
1.362,-0.1194,0.0164,1.0251,0.1679,0.5649,0.6183,
1.382,-0.116,0.0151,1.02,0.2137,0.5267,0.6718,
1.402,-0.1157,0.0171,1.0227,0.1756,0.4656,0.5725,
1.422,-0.1143,0.009,1.0186,0.2824,0.4962,0.6336,
1.442,-0.1216,0.0164,1.0159,0.1221,0.6794,0.6183,
1.462,-0.1128,0.0166,1.0193,0.2519,0.4656,0.6412,
1.482,-0.1177,0.0171,1.0237,0.1756,0.6565,0.5496,
1.502,-0.116,0.0183,1.0256,0.2214,0.5573,0.6489,
1.522,-0.1187,0.0168,1.0232,0.1832,0.5573,0.6336,
1.542,-0.1213,0.0156,1.0242,0.0534,0.5954,0.5038,
1.562,-0.1155,0.0183,1.0122,0.2214,0.6412,0.5954,
1.582,-0.1208,0.0132,1.0166,0.1679,0.5267,0.6412,
1.602,-0.1194,0.0159,1.0203,0.1069,0.5802,0.6183,
1.623,-0.1165,0.0161,1.02,0.1908,0.5115,0.6183,
1.643,-0.1194,0.0146,1.0198,0.1069,0.5191,0.6107,
1.664,-0.1147,0.0154,1.0217,0.1374,0.4504,0.5496,
1.683,-0.1169,0.0168,1.0161,0.1298,0.5115,0.6031,
1.703,-0.114,0.0112,1.0181,0.1679,0.5573,0.6641,
1.723,-0.1177,0.0137,1.0278,0.1679,0.5725,0.5954,
1.743,-0.1187,0.0134,1.019,0.2061,0.5344,0.5649,
1.763,-0.1174,0.0159,1.0229,0.2061,0.5573,0.5878,
1.783,-0.1179,0.0164,1.0254,0.1832,0.5344,0.6565,
1.803,-0.1223,0.0144,1.0195,0.1527,0.5496,0.6107,
1.823,-0.1184,0.0156,1.0212,0.145,0.5115,0.5573,
1.843,-0.1182,0.0144,1.0212,0.229,0.5878,0.6107,
1.863,-0.1152,0.0139,1.0237,0.1298,0.542,0.7099,
1.883,-0.1169,0.0154,1.0247,0.2214,0.5115,0.6336,
1.903,-0.1118,0.0183,1.021,0.1756,0.4656,0.6412,
1.923,-0.116,0.0151,1.0164,0.1756,0.5878,0.5496,
1.943,-0.1189,0.0183,1.0212,0.2061,0.542,0.6794,
1.964,-0.1157,0.0129,1.022,0.145,0.5878,0.5802,
1.984,-0.1177,0.0161,1.0234,0.1298,0.4962,0.6412,
2.004,-0.1172,0.0098,1.021,0.1374,0.5573,0.4885,
2.024,-0.1169,0.0159,1.0161,0.1298,0.5954,0.6489,
2.044,-0.1167,0.0173,1.0222,0.1756,0.5649,0.5573,
2.064,-0.1179,0.0173,1.0234,0.1985,0.5191,0.5878,
2.084,-0.1174,0.0127,1.0166,0.2443,0.5267,0.5725,
2.104,-0.1147,0.0142,1.0273,0.0916,0.542,0.6412,
2.124,-0.1174,0.0173,1.0203,0.2137,0.6107,0.4885,
2.144,-0.1184,0.0188,1.0276,0.2137,0.5496,0.5802,
2.164,-0.1196,0.0149,1.02,0.1221,0.4733,0.6565,
2.184,-0.1184,0.0188,1.019,0.084,0.5344,0.6107,
2.204,-0.1182,0.0188,1.0256,0.1603,0.6107,0.5954,
2.224,-0.1177,0.0193,1.0181,0.1221,0.5954,0.6412,
2.244,-0.1162,0.0125,1.0173,0.1145,0.6412,0.6412,
2.264,-0.1157,0.0129,1.022,0.1603,0.6336,0.7099,
2.284,-0.1133,0.0146,1.0261,0.1069,0.5267,0.5267,
2.305,-0.1174,0.0137,1.0195,0.1374,0.6183,0.5802,
2.325,-0.1162,0.0146,1.0254,0.1527,0.5115,0.6031,
2.345,-0.1155,0.0132,1.0164,0.1374,0.5573,0.6336,
2.365,-0.1167,0.0137,1.0183,0.2366,0.5649,0.626,
2.385,-0.1184,0.0146,1.0247,0.1679,0.6183,0.5954,
2.405,-0.1228,0.0154,1.0166,0.1679,0.5038,0.6336,
